Focal	Comparator	Comparator_Group	AAI	Shared_Prop
Pedococcus	Kibdelosporangium	Multicellular1	51.64661471018022	0.602406103286385
Pedococcus	Dietzia	Multicellular1	49.60595890410959	0.4284037558685446
Pedococcus	Thermobifida	Multicellular2	52.32168087697929	0.4818075117370892
Pedococcus	Tomitella	Multicellular1	51.49160052910053	0.44366197183098594
Pedococcus	Nocardia	Multicellular1	50.65559701492537	0.5504694835680751
Pedococcus	Pseudonocardia	Multicellular1	52.296953316953314	0.5971244131455399
Pedococcus	Streptacidiphilus	Multicellular2	53.392577104025094	0.5613262910798122
Pedococcus	Mycobacterium	Multicellular1	50.804849137931036	0.5446009389671361
Pedococcus	Streptomyces	Multicellular2	53.41804878048781	0.6015258215962441
Pedococcus	Kitasatospora	Multicellular2	53.70836344863191	0.568368544600939
Pedococcus	Spirillospora	Multicellular2	53.04046920821114	0.6003521126760564
Pedococcus	Nonomuraea	Multicellular2	52.687084520417855	0.6179577464788732
Pedococcus	Rhodococcus	Multicellular1	51.62580976863753	0.5707159624413145
Pedococcus	Gordonia	Multicellular1	50.55266626722588	0.4897300469483568
Pedococcus	Catellatospora	Multicellular1	52.13876288659794	0.5692488262910798
Pedococcus	Streptosporangium	Multicellular2	53.048640632723675	0.5936032863849765
Pedococcus	Lentzea	Multicellular1	52.233564013840834	0.5936032863849765
Pedococcus	Saccharopolyspora	Multicellular1	51.36518196632265	0.5401995305164319
Pedococcus	Nakamurella	Multicellular1	51.90406063887385	0.5419600938967136
Pedococcus	Actinopolyspora	Multicellular1	51.05502450980392	0.4788732394366197
Pedococcus	Saccharomonospora	Multicellular1	52.11461352657005	0.4859154929577465
Pedococcus	Tsukamurella	Multicellular1	50.58538597525044	0.4979460093896714
Pedococcus	Micromonospora	Multicellular1	52.65829408686552	0.5607394366197183
Pedococcus	Geodermatophilus	Multicellular1	52.789732620320855	0.5487089201877934
Pedococcus	Blastococcus	Multicellular1	52.80617352614016	0.5275821596244131
Pedococcus	Actinosynnema	Multicellular1	52.73855	0.5868544600938967
Pedococcus	Klenkia	Multicellular1	52.87197802197802	0.534037558685446
Pedococcus	Modestobacter	Multicellular1	52.76678889470927	0.5601525821596244
Pedococcus	Corynebacterium	Multicellular1	46.95475435816165	0.3703051643192488
Pedococcus	Nocardiopsis	Multicellular2	51.50553652968036	0.5140845070422535
Pedococcus	Actinokineospora	Multicellular1	52.466004296455424	0.5463615023474179
Pedococcus	Amycolatopsis	Multicellular1	51.834248554913295	0.6091549295774648
Pedococcus	Actinoalloteichus	Multicellular1	51.360137851809306	0.5108568075117371
Pedococcus	Actinoplanes	Multicellular1	52.14960593416782	0.6329225352112676
Pedococcus	Frankia	Multicellular1	51.20798650168729	0.5217136150234741
Pedococcus	Lawsonella	Multicellular1	49.11310418904404	0.27318075117370894
Dermacoccus	Kibdelosporangium	Multicellular1	49.50909592061742	0.6237964236588721
Dermacoccus	Dietzia	Multicellular1	49.05409181636727	0.5168500687757909
Dermacoccus	Thermobifida	Multicellular2	50.41607843137255	0.5261348005502063
Dermacoccus	Tomitella	Multicellular1	50.03653209794838	0.5196011004126547
Dermacoccus	Nocardia	Multicellular1	48.894691780821915	0.6024759284731774
Dermacoccus	Pseudonocardia	Multicellular1	49.91660011409013	0.6028198074277854
Dermacoccus	Streptacidiphilus	Multicellular2	50.44344213649852	0.5794360385144429
Dermacoccus	Mycobacterium	Multicellular1	49.2122591943958	0.5890646492434664
Dermacoccus	Streptomyces	Multicellular2	50.88993919292427	0.6220770288858322
